id,id_image,gardiner_code,x,y,width,height,col_index,row_index
2401,1,160,6999.6,1731.96,112.49,62.68,0,0
2402,1,242,7020.21,1788.63,89.31,97.89,0,1
2403,1,236,7008.19,1886.52,99.61,63.55,0,2
2404,1,611,7037.39,1954.36,71.27,22.33,0,3
2405,1,87,7028.8,1981.84,77.28,27.48,0,4
2406,1,353,7028.8,2016.19,80.72,12.88,0,5
2407,1,14,7021.93,2033.36,87.59,92.74,0,6
2408,1,542,7021.93,2132.11,96.17,26.62,0,7
2409,1,294,7060.57,2154.43,37.78,82.44,0,8
2410,1,242,7027.08,2216.26,89.31,94.46,0,9
2411,1,462,7063.15,2313.29,37.78,72.99,0,10
2412,1,493,7054.56,2384.56,69.55,58.4,0,11
2413,1,87,7033.95,2443.81,93.6,24.05,0,12
2414,1,462,7097.49,2468.72,30.92,79.0,0,13
2415,1,294,7051.12,2469.57,31.78,84.16,0,14
2416,1,422,7062.29,2552.87,63.54,54.1,0,15
2417,1,602,7041.68,2606.11,86.73,31.77,0,16
2418,1,353,7040.82,2644.75,85.87,17.17,0,17
2419,1,557,7093.2,2658.49,39.5,80.71,0,18
2420,1,126,7053.7,2665.36,50.66,72.13,0,19
2421,1,388,7047.69,2740.06,85.01,16.32,0,20
2422,1,461,7051.12,2756.38,82.44,94.45,0,21
2388,1,294,7010.77,2825.07,31.77,75.57,0,22
2423,1,104,7045.11,2837.95,89.31,36.07,0,23
2424,1,126,7066.58,2880.03,69.55,67.84,0,24
2425,1,229,7031.37,2948.72,111.63,68.7,0,25
2426,1,209,7046.83,3011.41,94.46,70.41,0,26
2427,1,571,7060.57,3080.96,69.55,60.97,0,27
2428,1,48,7041.68,3145.37,101.32,72.98,0,28
2429,1,236,7042.54,3219.21,106.48,63.55,0,29
2430,1,34,7059.71,3282.76,88.45,74.7,0,30
2361,1,560,6903.72,1724.37,120.56,48.43,1,0
2362,1,595,6943.91,1772.8,44.31,16.49,1,1
2363,1,114,6911.97,1784.13,108.19,34.01,1,2
2364,1,353,6911.97,1817.11,109.22,15.45,1,3
2365,1,114,6906.81,1829.47,119.53,30.92,1,4
2366,1,353,6910.94,1864.51,116.43,13.39,1,5
2367,1,178,6913.0,1877.9,111.28,92.74,1,6
2368,1,104,6918.15,1954.15,104.07,42.25,1,7
2369,1,126,6927.42,1993.31,82.44,63.89,1,8
2370,1,621,6953.18,1999.49,63.89,38.13,1,9
2371,1,595,6939.79,2060.29,50.49,14.42,1,10
2372,1,628,6904.42,2066.74,124.09,90.14,1,11
2373,1,84,6941.88,2158.05,94.83,62.05,1,12
2374,1,607,6920.81,2161.57,21.07,53.85,1,13
2375,1,114,6914.96,2218.93,120.58,37.46,1,14
2376,1,356,6927.83,2256.39,103.03,31.61,1,15
2377,1,87,6927.83,2292.68,105.37,25.76,1,16
2378,1,242,6924.32,2310.24,119.41,101.86,1,17
2379,1,227,6916.13,2408.58,119.41,79.61,1,18
2380,1,611,6936.03,2487.02,87.8,35.12,1,19
2381,1,108,6919.64,2510.43,140.48,37.47,1,20
2382,1,87,6936.06,2549.43,104.76,26.62,1,21
2383,1,242,6918.03,2567.47,127.94,94.45,1,22
2384,1,353,6928.33,2662.78,109.06,17.17,1,23
2385,1,388,6928.33,2686.82,114.21,12.03,1,24
2386,1,393,6949.8,2700.56,85.01,64.4,1,25
2387,1,209,6943.79,2756.38,106.48,72.99,1,26
2389,1,561,6936.92,2831.94,80.72,48.09,1,27
2390,1,87,6934.34,2877.45,77.28,23.19,1,28
2391,1,589,6945.51,2905.79,103.04,26.62,1,29
2392,1,363,6956.67,2933.27,73.85,30.91,1,30
2393,1,393,6951.52,2968.47,83.29,55.82,1,31
2394,1,87,6948.94,3026.87,106.48,29.19,1,32
2395,1,242,6932.63,3056.06,126.22,97.89,1,33
2354,1,595,6890.33,3058.78,39.15,19.57,1,34
2398,1,607,6949.8,3153.95,22.33,46.37,1,35
2396,1,363,6977.28,3159.1,75.56,39.5,1,36
2399,1,353,6942.93,3200.32,104.76,18.89,1,37
2397,1,170,6961.82,3220.07,92.78,50.66,1,38
2358,1,586,6899.6,3264.86,42.25,42.25,1,39
2400,1,212,6937.78,3268.16,119.36,103.04,1,40
2326,1,242,6787.28,1722.31,107.17,96.86,2,0
2327,1,294,6865.6,1743.95,31.94,75.22,2,1
2328,1,13,6801.71,1808.86,107.17,87.59,2,2
2329,1,87,6807.89,1897.48,97.89,26.79,2,3
2330,1,621,6816.14,1928.39,88.61,44.31,2,4
2331,1,602,6809.95,1969.61,100.99,36.07,2,5
2332,1,561,6799.65,2006.71,123.65,55.64,2,6
2333,1,242,6793.47,2051.01,117.47,106.14,2,7
2334,1,13,6806.86,2157.15,104.08,81.4,2,8
2335,1,542,6806.86,2242.67,106.14,29.89,2,9
2293,1,417,6769.39,2263.21,35.75,68.67,2,10
2336,1,353,6816.14,2275.65,104.07,16.49,2,11
2337,1,87,6813.05,2294.2,99.95,28.85,2,12
2338,1,621,6824.38,2325.11,87.59,51.52,2,13
2339,1,602,6823.35,2371.48,102.01,40.19,2,14
