ngram,ngram_str,count,n
"('258', '475', '294', '353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '624', '103', '418', '621', '274', '595', '196', '87', '121', '274', '87')",258 475 294 353 169 371 607 353 169 622 595 586 586 586 10 44 624 103 418 621 274 595 196 87 121 274 87,2,27
"('475', '294', '353', '169', '371', '607', '353', '169', '622', '595', '586', '586', '586', '10', '44', '533', '103', '242', '417', '621', '274', '595', '196', '87', '121', '274', '87')",475 294 353 169 371 607 353 169 622 595 586 586 586 10 44 533 103 242 417 621 274 595 196 87 121 274 87,2,27
"('160', '242', '236', '611', '87', '353', '14', '542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209')",160 242 236 611 87 353 14 542 294 242 462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209,1,27
"('242', '236', '611', '87', '353', '14', '542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571')",242 236 611 87 353 14 542 294 242 462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571,1,27
"('236', '611', '87', '353', '14', '542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48')",236 611 87 353 14 542 294 242 462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48,1,27
"('611', '87', '353', '14', '542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236')",611 87 353 14 542 294 242 462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236,1,27
"('87', '353', '14', '542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34')",87 353 14 542 294 242 462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34,1,27
"('353', '14', '542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560')",353 14 542 294 242 462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560,1,27
"('14', '542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595')",14 542 294 242 462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595,1,27
"('542', '294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114')",542 294 242 462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114,1,27
"('294', '242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353')",294 242 462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353,1,27
"('242', '462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114')",242 462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114,1,27
"('462', '493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114', '353')",462 493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114 353,1,27
"('493', '87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114', '353', '178')",493 87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114 353 178,1,27
"('87', '462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114', '353', '178', '104')",87 462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114 353 178 104,1,27
"('462', '294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114', '353', '178', '104', '126')",462 294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114 353 178 104 126,1,27
"('294', '422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114', '353', '178', '104', '126', '621')",294 422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114 353 178 104 126 621,1,27
"('422', '602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114', '353', '178', '104', '126', '621', '595')",422 602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114 353 178 104 126 621 595,1,27
"('602', '353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114', '353', '178', '104', '126', '621', '595', '628')",602 353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114 353 178 104 126 621 595 628,1,27
"('353', '557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114', '353', '178', '104', '126', '621', '595', '628', '84')",353 557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114 353 178 104 126 621 595 628 84,1,27
"('557', '126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114', '353', '178', '104', '126', '621', '595', '628', '84', '607')",557 126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114 353 178 104 126 621 595 628 84 607,1,27
"('126', '388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114', '353', '178', '104', '126', '621', '595', '628', '84', '607', '114')",126 388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114 353 178 104 126 621 595 628 84 607 114,1,27
"('388', '461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114', '353', '178', '104', '126', '621', '595', '628', '84', '607', '114', '356')",388 461 294 104 126 229 209 571 48 236 34 560 595 114 353 114 353 178 104 126 621 595 628 84 607 114 356,1,27
"('461', '294', '104', '126', '229', '209', '571', '48', '236', '34', '560', '595', '114', '353', '114', '353', '178', '104', '126', '621', '595', '628', '84', '607', '114', '356', '87')",461 294 104 126 229 209 571 48 236 34 560 595 114 353 114 353 178 104 126 621 595 628 84 607 114 356 87,1,27
